Source,Target,Weight
Lambic - Fruit,Old Ale,0
Dubbel,Old Ale,0
Belgian Dark Ale,Old Ale,0
Bière de Garde,Old Ale,0
Baltic Porter,Old Ale,0
Russian Imperial Stout,Old Ale,0
American Blonde Ale,Old Ale,0
Tripel,Old Ale,0
Flanders Oud Bruin,Old Ale,0
English Stout,Old Ale,0
Quadrupel (Quad),Old Ale,0
Milk / Sweet Stout,Old Ale,0
Winter Warmer,Old Ale,0
Vienna Lager,Old Ale,0
Irish Red Ale,Old Ale,0
American Adjunct Lager,Old Ale,0
English Bitter,Old Ale,0
Schwarzbier,Old Ale,0
Belgian Strong Dark Ale,Old Ale,0
Belgian Pale Ale,Old Ale,0
Scottish Ale,Old Ale,0
Light Lager,Old Ale,0
American Amber / Red Lager,Old Ale,0
American Pale Lager,Old Ale,0
Dortmunder / Export Lager,Old Ale,0
Altbier,Old Ale,0
Berliner Weissbier,Old Ale,0
English Porter,Old Ale,0
Maibock / Helles Bock,Old Ale,0
Irish Dry Stout,Old Ale,0
Keller Bier / Zwickel Bier,Old Ale,0
English Strong Ale,Old Ale,0
Wheatwine,Old Ale,0
English Pale Ale,Old Ale,0
Bière de Champagne / Bière B,Old Ale,0
Czech Pilsener,Old Ale,0
American Wild Ale,Old Ale,0
Doppelbock,Old Ale,0
Dunkelweizen,Old Ale,0
Gueuze,Old Ale,0
Eisbock,Old Ale,0
Euro Strong Lager,Old Ale,0
Scottish Gruit / Ancient Herbe,Old Ale,0
Lambic - Unblended,Old Ale,0
Munich Dunkel Lager,Old Ale,0
Roggenbier,Old Ale,0
Faro,Old Ale,0
Kölsch,Old Ale,0
American Dark Wheat Ale,Old Ale,0
Sahti,Old Ale,0
Smoked Beer,Old Ale,0
Euro Dark Lager,Old Ale,0
Weizenbock,Old Ale,0
American Black Ale,English Brown Ale,0
American Double / Imperial IPA,English Brown Ale,0
American Double / Imperial Pil,English Brown Ale,0
American IPA,English Brown Ale,0
American Double / Imperial Sto,English Brown Ale,0
Scotch Ale / Wee Heavy,English Brown Ale,0
Old Ale,English Brown Ale,0
